member_id,member_name,phone,gender,age,member_level,balance,points,register_date,is_active
M00045,张二十三45,18034824771,男,58,银卡会员,2592.2,40804,2023-09-13,True
M00046,黄十六46,13317127484,女,48,银卡会员,1553.75,896,2023-10-10,False
M00047,周九47,19821465840,女,64,银卡会员,2283.93,9479,2023-07-16,True
M00048,林十八48,17588675339,女,32,钻石会员,4326.3,29264,2023-10-03,False
M00049,刘二十五49,18627028951,女,24,普通会员,0.0,20852,2023-08-31,False
M00050,黄十六50,15174596158,女,38,普通会员,0.0,47346,2023-03-15,False
M00051,吴十51,17316117240,男,38,普通会员,0.0,40465,2023-02-05,True
M00052,吴十52,19692221969,男,49,金卡会员,1792.32,28225,2023-03-16,True
M00053,郑十一53,13748217594,女,62,银卡会员,2305.75,16644,2023-08-24,True
M00054,林十八54,13369594406,女,18,钻石会员,4226.52,13055,2023-07-16,True
M00055,李二十二55,17339421047,男,55,钻石会员,4164.19,18756,2023-04-28,True
M00056,陈二十六56,18232858842,女,48,银卡会员,450.67,19340,2023-06-17,True
M00057,钱七57,15685160481,女,41,金卡会员,4021.16,30692,2023-02-08,True
M00058,王二十四58,15709859317,女,59,钻石会员,4112.09,24344,2023-02-25,False
M00059,李四59,17711382675,女,55,普通会员,0.0,9160,2023-01-24,True
M00060,黄十六60,17053773515,女,21,钻石会员,3274.61,32069,2023-11-12,False
M00061,王五61,15900532931,男,55,金卡会员,949.04,8005,2023-08-21,True
M00062,张三62,17228421020,女,33,银卡会员,1642.8,9670,2023-11-02,True
M00063,李四63,15681177589,男,46,普通会员,0.0,11419,2023-05-16,True
M00064,何十九64,17700766177,男,23,普通会员,0.0,47660,2023-12-04,True
M00065,张二十三65,19856984789,女,24,银卡会员,328.41,18023,2023-11-16,True
M00066,陈十三66,18661565452,女,22,银卡会员,2150.35,14974,2023-07-31,True
M00067,赵六67,17280988516,女,60,普通会员,0.0,6109,2023-08-10,False
M00068,王十二68,17198327315,女,25,普通会员,0.0,18850,2023-11-04,True
M00069,李二十二69,19094024455,男,29,银卡会员,4036.11,36763,2023-11-15,True
M00070,张三70,13836675254,女,54,钻石会员,347.93,48560,2023-11-21,True
M00071,李二十二71,13147679764,男,50,普通会员,0.0,10196,2023-03-22,True
M00072,王二十四72,19784036900,男,37,金卡会员,2149.57,18562,2023-12-14,True
M00073,赵六73,13762268388,女,22,银卡会员,3820.8,18969,2023-06-17,False
M00074,朱十七74,13596966416,男,38,普通会员,0.0,28588,2023-01-10,True
M00075,黄十六75,13369681645,男,39,钻石会员,4160.13,23714,2023-02-15,True
M00076,赵六76,19835523124,男,29,普通会员,0.0,33455,2023-11-21,True
M00077,林十八77,18997995527,男,48,普通会员,0.0,11609,2023-11-18,False
M00078,刘十四78,19147700541,男,57,金卡会员,3981.65,38759,2023-01-29,False
M00079,朱十七79,19359782071,女,63,钻石会员,2901.65,48425,2023-01-22,True
M00080,朱十七80,19892554665,男,58,银卡会员,195.71,46374,2023-08-13,True
M00081,高二十81,18449251925,女,59,普通会员,0.0,21606,2023-02-18,False
M00082,高二十82,18528168505,女,29,银卡会员,2975.21,5552,2023-06-08,True
M00083,吴十83,15214188805,男,56,金卡会员,4738.34,31868,2023-04-09,False
M00084,孙八84,18065379473,男,37,银卡会员,811.24,45406,2023-11-16,False
M00085,朱十七85,17688623924,男,59,银卡会员,1839.2,37383,2023-08-14,False
M00086,何十九86,13412478261,男,46,金卡会员,2772.7,6723,2023-12-31,True
M00087,杨十五87,19536153051,女,27,普通会员,0.0,27190,2023-01-28,True
M00088,刘二十五88,15779010432,女,25,普通会员,0.0,18800,2023-08-30,True
M00089,黄十六89,19711798089,男,63,银卡会员,1505.76,3129,2023-05-03,True
M00090,吴十90,19621851888,男,42,金卡会员,2146.19,40292,2023-06-30,False
M00091,刘十四91,17051531952,男,40,普通会员,0.0,41659,2023-07-18,True
M00092,刘二十五92,18221704303,男,38,银卡会员,4151.92,44871,2023-08-26,True
M00093,郑十一93,13345054156,女,65,钻石会员,4945.61,35588,2023-08-31,False
M00094,刘二十五94,18584161692,女,38,钻石会员,1695.18,12243,2023-09-12,True
M00095,王十二95,17796275705,女,35,普通会员,0.0,21490,2023-12-05,True
M00096,杨十五96,17820297021,男,59,普通会员,0.0,43986,2023-11-23,True
M00097,李二十二97,15755719285,女,38,金卡会员,1914.27,37174,2023-01-17,True
M00098,林十八98,19681447394,女,30,银卡会员,4802.6,1698,2023-04-06,True
M00099,刘二十五99,18155188442,男,41,银卡会员,4264.13,29625,2023-03-30,True
M00100,吴十100,18058957829,男,22,普通会员,0.0,13171,2023-03-13,True
M00101,何十九101,18691251778,女,26,钻石会员,4997.98,47111,2023-09-03,True
M00102,何十九102,15422535841,女,30,银卡会员,2163.09,3631,2023-03-05,True
M00103,王五103,19299229959,男,19,银卡会员,3125.11,40267,2023-10-01,True
M00104,郑十一104,15969078447,男,61,普通会员,0.0,42038,2023-10-23,False
M00105,孙八105,18677359255,女,43,金卡会员,2267.72,45128,2023-01-31,True
M00106,吴十106,18147321046,女,33,金卡会员,2574.9,6958,2023-06-13,True
M00107,周九107,15787747016,女,33,金卡会员,4668.76,47259,2023-06-10,True
M00108,李二十二108,18480162456,女,20,金卡会员,243.29,18438,2023-09-11,False
M00109,周九109,17841687849,男,26,普通会员,0.0,37373,2023-10-15,True
M00110,刘十四110,15398680002,女,48,钻石会员,1865.99,22222,2023-10-13,False
M00111,陈十三111,19526949588,女,63,银卡会员,3031.3,33784,2023-03-13,True
M00112,王二十四112,13694097499,男,64,钻石会员,4078.74,24140,2023-06-19,True
M00113,杨十五113,15309130756,男,44,钻石会员,852.56,41223,2023-11-14,True
M00114,陈二十六114,13283857865,男,47,钻石会员,2509.1,40073,2023-08-30,True
M00115,张二十三115,17973348434,女,63,金卡会员,3379.34,47246,2023-12-15,True
M00116,陈二十六116,17419866524,男,36,钻石会员,1585.2,22859,2023-10-14,True
M00117,陈二十六117,18338484219,男,33,金卡会员,4620.05,42989,2023-05-12,True
M00118,黄十六118,17712082677,男,36,银卡会员,3189.72,3440,2023-02-21,True
M00119,马二十一119,15802620672,女,20,金卡会员,3229.49,5862,2023-11-30,True
M00120,王十二120,18887287431,女,28,金卡会员,2839.81,7032,2023-06-21,False
M00121,王十二121,19329668516,男,29,金卡会员,3592.99,923,2023-06-22,True
M00122,郑十一122,18374549904,女,62,钻石会员,1618.01,16256,2023-01-04,True
M00123,朱十七123,17268414593,男,26,普通会员,0.0,43764,2023-03-02,False
M00124,黄十六124,19783391878,女,22,银卡会员,2274.89,39697,2023-07-11,True
M00125,周九125,19822587139,女,23,普通会员,0.0,35890,2023-09-16,False
M00126,何十九126,18790874064,男,65,普通会员,0.0,29716,2023-03-09,True
M00127,刘十四127,13801704622,女,41,普通会员,0.0,2968,2023-08-05,False
M00128,王五128,19251286823,男,19,钻石会员,4348.1,24739,2023-07-12,True
M00129,高二十129,18337524310,女,57,钻石会员,3367.5,35680,2023-08-06,True
M00130,李四130,18903067383,男,26,银卡会员,1030.41,6612,2023-11-01,True
M00131,陈十三131,19953428364,女,21,银卡会员,4078.93,47940,2023-10-22,True
M00132,张二十三132,18856624628,女,33,钻石会员,2779.25,3072,2023-06-26,True
M00133,李四133,19668826343,女,59,金卡会员,4287.71,9460,2023-08-26,True
M00134,陈二十六134,15046990139,男,48,钻石会员,4235.67,6059,2023-10-02,True
M00135,周九135,13739363854,女,47,金卡会员,1515.94,1004,2023-04-19,True
M00136,朱十七136,13753556093,男,19,金卡会员,1307.81,33607,2023-09-12,True
M00137,吴十137,18937854777,男,64,钻石会员,1475.96,12857,2023-06-18,True
M00138,孙八138,19080100623,男,63,银卡会员,699.79,35818,2023-09-08,True
M00139,朱十七139,17099770088,女,18,普通会员,0.0,14334,2023-09-16,True
M00140,何十九140,18211823398,女,40,金卡会员,2678.69,18788,2023-01-09,True
M00141,马二十一141,15341016668,女,21,钻石会员,395.1,26609,2023-08-24,True
M00142,陈十三142,19180339740,男,61,银卡会员,413.43,28436,2023-11-27,True
M00143,张三143,15926142939,女,61,普通会员,0.0,11754,2023-06-11,True
M00144,陈二十六144,13850163159,女,38,钻石会员,3778.05,9171,2023-12-19,True
M00145,吴十145,17866296194,男,63,金卡会员,3917.74,29527,2023-09-09,True
M00146,杨十五146,15655110475,女,24,普通会员,0.0,17561,2023-03-20,True
M00147,朱十七147,19886101581,女,42,普通会员,0.0,12280,2023-08-09,True
M00148,吴十148,19826224447,男,22,金卡会员,2069.05,5550,2023-10-14,True
M00149,王五149,17437993712,女,18,钻石会员,1379.81,19644,2023-09-05,False
M00150,朱十七150,17692459375,男,43,金卡会员,4208.07,24896,2023-06-18,True
M00151,马二十一151,15564651939,男,61,金卡会员,3674.37,41477,2023-09-09,True
M00152,王十二152,13672434266,男,46,钻石会员,4714.87,13739,2023-08-13,False
M00153,高二十153,13589113529,男,54,钻石会员,2671.84,45331,2023-08-03,False
M00154,张三154,13438889937,女,43,金卡会员,4828.58,28210,2023-02-24,False
M00155,赵六155,17611254573,女,40,银卡会员,1724.84,1609,2023-09-05,False
M00156,朱十七156,17140105123,男,53,普通会员,0.0,28715,2023-12-23,True
M00157,杨十五157,15266093796,女,18,金卡会员,2799.24,30281,2023-04-29,True
M00158,马二十一158,13825537147,女,56,银卡会员,1391.72,46121,2023-02-02,False
M00159,朱十七159,19249912513,女,25,钻石会员,2935.02,22801,2023-06-30,True
M00160,黄十六160,19296627828,男,49,金卡会员,3467.18,33477,2023-07-18,True
M00161,李四161,17072368876,女,44,银卡会员,935.49,29556,2023-11-14,False
M00162,吴十162,17043842797,男,54,钻石会员,836.27,37053,2023-01-16,True
M00163,李四163,18836134074,女,23,金卡会员,3875.57,24042,2023-10-05,False
M00164,陈二十六164,19596292330,女,52,普通会员,0.0,15528,2023-04-18,True
M00165,王十二165,19481260422,男,27,银卡会员,1618.27,46140,2023-05-30,True
M00166,林十八166,15946671168,女,62,银卡会员,3807.37,44317,2023-07-21,True
M00167,张三167,13751863637,女,38,钻石会员,4751.27,21449,2023-10-25,True
M00168,林十八168,17001701277,男,45,金卡会员,2736.55,8558,2023-10-17,True
M00169,郑十一169,13541520643,女,59,银卡会员,4410.74,19783,2023-03-23,True
M00170,林十八170,13293870051,女,62,普通会员,0.0,71,2023-04-20,True
M00171,陈二十六171,13155426221,男,57,钻石会员,354.14,25104,2023-02-15,True
M00172,陈二十六172,15697311219,女,40,钻石会员,1755.94,13962,2023-11-18,False
M00173,张二十三173,13389994043,男,65,金卡会员,3955.38,16238,2023-05-22,False
M00174,杨十五174,13379180552,女,54,金卡会员,3230.85,15685,2023-09-11,False
M00175,王五175,13910430068,女,58,金卡会员,2731.78,11322,2023-08-30,False
M00176,高二十176,19924141832,女,43,钻石会员,3509.05,5401,2023-11-24,True
M00177,李四177,15161799042,男,18,金卡会员,3493.38,47838,2023-05-03,True
M00178,刘十四178,19842524105,女,35,普通会员,0.0,10736,2023-09-12,True
M00179,王五179,18785079252,女,24,金卡会员,3561.62,37791,2023-11-18,True
M00180,张三180,15075622086,男,38,银卡会员,3703.9,168,2023-01-23,True
M00181,王五181,19518023806,男,47,钻石会员,4579.27,20967,2023-05-19,True
M00182,张三182,17349493759,女,30,金卡会员,1636.5,36247,2023-08-22,True
M00183,吴十183,19505064138,男,44,银卡会员,31.89,26872,2023-01-13,False
M00184,郑十一184,13038657191,男,58,普通会员,0.0,9330,2023-12-31,False
M00185,李四185,18234456557,女,32,普通会员,0.0,38790,2023-10-18,True
M00186,钱七186,13277561853,女,37,银卡会员,680.56,38319,2023-02-25,False
M00187,王二十四187,17903521356,男,61,金卡会员,4262.41,5925,2023-03-22,True
M00188,杨十五188,18883171210,男,32,金卡会员,4100.45,11394,2023-01-16,True
M00189,张二十三189,13994101372,男,39,银卡会员,4118.37,24395,2023-12-18,True
M00190,孙八190,19667066253,男,35,普通会员,0.0,30211,2023-01-26,True
M00191,李二十二191,19347687014,女,26,钻石会员,4417.12,2270,2023-11-11,False
M00192,张二十三192,19065787598,女,42,银卡会员,3213.26,34459,2023-05-08,True
M00193,张三193,17078593213,男,35,银卡会员,130.31,39132,2023-04-23,True
M00194,孙八194,15395590599,男,54,银卡会员,2878.46,25455,2023-07-01,True
M00195,李四195,13039308705,男,26,钻石会员,2710.62,11505,2023-09-09,True
M00196,张三196,15921851569,男,39,银卡会员,4593.9,21206,2023-01-31,True
M00197,张二十三197,18528953926,女,64,金卡会员,682.26,10322,2023-08-12,True
M00198,马二十一198,18902959391,女,27,银卡会员,888.54,117,2023-12-26,True
M00199,陈十三199,15157043315,女,24,普通会员,0.0,15597,2023-06-27,True
M00200,陈二十六200,18267658617,男,28,普通会员,0.0,25292,2023-08-13,False
